name,first_name,last_name,description,house
Hannah Abbott,Hannah,Abbott   ,Hufflepuff student in Harry Potter's year. Prefect and member of Dumbledore's Army.,Hufflepuff
Ludo Bagman,Ludo,Bagman   ,Head of the Department of Magical Games and Sports within the Ministry of Magic.,
Bathilda Bagshot,Bathilda,Bagshot   ,"Author of A History of Magic, and the great aunt of Gellert Grindelwald.",
Katie Bell,Katie,Bell   ,Gryffindor Quidditch Chaser one year above Harry Potter. Member of Dumbledore's Army.,Gryffindor
Cuthbert Binns,Cuthbert,Binns   ,"ghost, History of Magic professor.",
Phineas Nigellus Black,Phineas,Nigellus Black  ,Great-great-grandfather of Sirius Black and former Hogwarts headmaster. His painting hangs in the office and assists the current headmaster.,Slytherin
Sirius Black,Sirius,Black   ,Harry's godfather who was a close friend of Harry's father James. Escapee from Azkaban prison and member of the Order of the Phoenix. Killed in the Battle of the Department of Mysteries by his cousin Bellatrix Lestrange.,Gryffindor
Walburga Black,Walburga,Black   ,"Mother of Sirius and Regulus Black. Her portrait hangs in Number 12, Grimmauld Place.",Slytherin
Amelia Bones,Amelia,Bones   ,"Head of the Department of Magical Law Enforcement, and the aunt of Susan Bones. Killed by Lord Voldemort.",
Susan Bones,Susan,Bones   ,Hufflepuff student in Harry's year. Member of Dumbledore's Army.,Hufflepuff
Terry Boot,Terry,Boot   ,Ravenclaw student in Harry's year. Member of Dumbledore's Army.,Ravenclaw
Lavender Brown,Lavender,Brown   ,Gryffindor student in Harry's year and member of Dumbledore's Army. Killed in the Battle of Hogwarts.,Gryffindor
Millicent Bulstrode,Millicent,Bulstrode   ,Slytherin student in Harry's year. Member of Dolores Umbridge's Inquisitorial Squad.,Slytherin
Charity Burbage,Charity,Burbage   ,Professor of Muggle Studies at Hogwarts. Killed by Lord Voldemort.,
Frank Bryce,Frank,Bryce   ,Muggle gardener for the Riddle family. Killed by Lord Voldemort.,
Alecto Carrow,Alecto,Carrow   ,"Death Eater and sister of Amycus Carrow. Professor of Muggle Studies for one year, and Deputy Headmistress of Hogwarts under Severus Snape.",
Amycus Carrow,Amycus,Carrow   ,"Death Eater and brother of Alecto Carrow. Professor of Defence Against the Dark Arts for one year, and Deputy Headmaster of Hogwarts under Snape.",
Reginald Cattermole,Reginald,Cattermole   ,Employee of the Magical Maintenance Department for the Ministry of Magic. Impersonated by Ron Weasley.,
Cho Chang,Cho,Chang   ,"Ravenclaw Quidditch Seeker one year above Harry, and his first love interest. Member of Dumbledore's Army.",Ravenclaw
Penelope Clearwater,Penelope,Clearwater   ,Ravenclaw prefect and girlfriend of Percy Weasley.,Ravenclaw
Mrs. Cole,Mrs.,Cole   ,Matron of the orphanage where Tom Riddle lived.,
Michael Corner,Michael,Corner   ,Ravenclaw student in Harry's year. Member of Dumbledore's Army.,Ravenclaw
Crabbe,Crabbe,   ,Death Eater and father of Vincent Crabbe.,Slytherin
Vincent Crabbe,Vincent,Crabbe   ,Slytherin student in Harry's year and the son of a Death Eater. Slytherin Quidditch Beater and member of the Inquisitorial Squad. Killed by his own Fiendfyre spell.,Slytherin
Colin Creevey,Colin,Creevey   ,"Muggle-born Gryffindor student one year below Harry. Older brother of Dennis Creevey, and member of Dumbledore's Army. Killed during the Battle of Hogwarts.",Gryffindor
Dennis Creevey,Dennis,Creevey   ,"Muggle-born Gryffindor student three years below Harry. Younger brother of Colin Creevey, and member of Dumbledore's Army.",Gryffindor
Dirk Cresswell,Dirk,Cresswell   ,"Muggle-born Head of the Goblin Liaison Office, went on the run with fellow Muggle-borns Ted Tonks, Dean Thomas and goblins Gornuk and Griphook, during which he is killed.",
Barty Crouch Jr,Barty,Crouch Jr  ,"Death Eater credited with facilitating the return of Lord Voldemort. Used Polyjuice Potion to impersonate Alastor Moody, and received a Dementor's Kiss.",
Roger Davies,Roger,Davies   ,Ravenclaw Quidditch Captain and Chaser. Attended Yule Ball with Fleur Delacour.,Ravenclaw
John Dawlish,John,Dawlish   ,an Auror.,
Fleur Delacour,Fleur,Delacour   ,Participant in the Triwizard Tournament as a representative of wizarding school Beauxbatons. Later married Bill Weasley.,
Gabrielle Delacour,Gabrielle,Delacour   ,Fleur's younger sister. Rescued by Harry during the Triwizard Tournament.,
Dedalus Diggle,Dedalus,Diggle   ,Member of the Order of the Phoenix who took the Dursleys into hiding.,
Amos Diggory,Amos,Diggory   ,Cedric Diggory's father. Employee of the Department for the Regulation and Control of Magical Creatures.,
Cedric Diggory,Cedric,Diggory   ,"Hufflepuff student and prefect two years above Harry. Quidditch Seeker and captain, and co-winner of the Triwizard Tournament. Killed by Peter Pettigrew on Lord Voldemort's command.",Hufflepuff
Elphias Doge,Elphias,Doge   ,School friend of Albus Dumbledore.,
Antonin Dolohov,Antonin,Dolohov   ,"Death Eater who killed Fabian Prewett, Gideon Prewett, and Remus Lupin.",
Aberforth Dumbledore,Aberforth,Dumbledore   ,Brother of Albus and Ariana Dumbledore. Owner of the Hog's Head tavern.,
Albus Dumbledore,Albus,Dumbledore   ,"Transfiguration professor in Tom Riddle's time, and Hogwarts headmaster in Harry Potter's time. Founder of the Order of the Phoenix. Killed by Severus Snape on Dumbledore's request.",Gryffindor
Ariana Dumbledore,Ariana,Dumbledore   ,"Sister of Albus and Aberforth Dumbledore, killed in three-way duel between her brothers and Gellert Grindelwald.",
Kendra Dumbledore,Kendra,Dumbledore   ,"Wife of Percival Dumbledore. Mother of Albus, Aberforth and Ariana Dumbledore.",
Percival Dumbledore,Percival,Dumbledore   ,"Husband of Kendra Dumbledore, father of Albus, Aberforth and Ariana Dumbledore.",
Dudley Dursley,Dudley,Dursley   ,"Muggle son of Vernon Dursley and Petunia Evans, first cousin of Harry Potter.",
